Sample_ID_Cpx,Mineral,SiO2,TiO2,Al2O3,Cr2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Total
cpx27.1,Clinopyroxene,54.6,0.21,0.87,0.02,10.3,0.36,15.3,19.6,0.32,0.01,101.6
cpx27.2,Clinopyroxene,54.1,0.21,0.88,0,10,0.45,15.3,19.5,0.31,0.02,100.9
cpx28.1,Clinopyroxene,54.8,0.29,1.2,0.02,10.4,0.43,15.3,19.1,0.35,0.01,101.8
cpx28.3,Clinopyroxene,54,0.38,1.59,0.01,10.7,0.35,15.6,19,0.34,0.01,101.9
cpx32.1,Clinopyroxene,53.2,0.49,2.27,0.04,9.31,0.34,15.9,18.9,0.45,0.03,101
cpx33.1,Clinopyroxene,52.8,0.53,2.38,0.07,9.52,0.27,15.8,18.8,0.44,0.02,100.6
cpx33.2,Clinopyroxene,52.4,0.69,3.11,0.14,10.2,0.38,14.7,19.3,0.41,0.01,101.3
cpx33.3,Clinopyroxene,53.2,0.44,1.59,0,11.41,0.5,15.3,18.3,0.33,0.01,101.1
cpx35.1,Clinopyroxene,54,0.32,1.21,0,11.2,0.28,14.9,18.9,0.44,0,101.2
cpx35.2,Clinopyroxene,54.5,0.2,0.84,0.01,11.13,0.37,15.1,19.2,0.37,0,101.7
cpx35.3,Clinopyroxene,54.1,0.3,1.17,0,10.8,0.47,15.2,19.1,0.4,0,101.5
cpx36.1,Clinopyroxene,53.9,0.2,0.9,0.02,10.5,0.36,15.2,19.2,0.39,0.01,100.6
cpx36.2,Clinopyroxene,53.4,0.27,1.15,0.02,10.6,0.3,15,19.2,0.36,0,100.3
cpx37.1,Clinopyroxene,53.3,0.35,1.46,0.01,10.7,0.42,15.1,19.3,0.43,0,101.1
cpx39.1,Clinopyroxene,53.9,0.33,1.26,0,11.1,0.38,15.1,19.2,0.39,0,101.6
cpx39.2,Clinopyroxene,53.8,0.33,1.38,0.03,10.7,0.45,15,19.3,0.4,0.01,101.4
cpx39.3,Clinopyroxene,54,0.3,1.23,0,11.16,0.48,15.1,19.1,0.39,0,101.8
cpx1.1,Clinopyroxene,51.8,0.73,3.19,0,9.86,0.15,15.8,18.5,0.38,0,100.5
cpx1.2,Clinopyroxene,51.8,0.76,3.51,0.01,9.8,0.2,15.7,18.9,0.36,0,101
cpx1.3,Clinopyroxene,53.3,0.48,1.89,0,10.2,0.42,16.3,18,0.34,0.01,101
cpx2.1,Clinopyroxene,53.7,0.41,1.64,0,9.73,0.31,15.4,19.4,0.41,0.01,101.2
cpx2.2,Clinopyroxene,52.3,0.77,3.04,0,10.3,0.33,15.5,18.5,0.34,0.02,101.1
cpx2.3,Clinopyroxene,52.5,0.93,2.84,0,9.87,0.36,15.1,18.8,0.4,0.01,100.9
cpx3.1,Clinopyroxene,52.4,0.69,3.13,0.01,9.44,0.27,15.9,18.6,0.28,0,100.8
cpx3.2,Clinopyroxene,52,0.74,3.26,0,9.81,0.22,15.8,18.7,0.35,0.01,100.8
cpx4.1,Clinopyroxene,52.7,0.53,2.1,0,9.52,0.33,16.2,18.7,0.33,0,100.5
cpx4.2,Clinopyroxene,53.9,0.37,1.37,0,9.67,0.42,15.7,19.2,0.34,0,101
cpx4.3,Clinopyroxene,53.8,0.29,1.16,0.01,9.83,0.39,15.5,19.2,0.4,0.02,100.6
cpx5.1,Clinopyroxene,53.4,0.28,1.19,0,10.3,0.39,15.5,19.2,0.37,0,100.6
cpx5.2,Clinopyroxene,52.9,0.45,1.84,0,10.8,0.49,16,17.7,0.38,0.01,100.6
cpx6.1,Clinopyroxene,52.7,0.5,2.17,0,9.34,0.19,16.2,18.9,0.31,0,100.3
cpx6.2,Clinopyroxene,51.1,0.76,3.39,0,10.1,0.31,15.4,18.8,0.29,0,100.3
cpx6.3,Clinopyroxene,52.6,0.48,1.93,0.01,10.2,0.31,15.1,19,0.39,0.03,100.1
cpx7.1,Clinopyroxene,52.5,0.54,2.14,0.02,10.2,0.4,15.2,19.2,0.36,0.01,100.7
cpx7.2,Clinopyroxene,52.9,0.26,1.07,0.01,9.73,0.4,15.5,19,0.38,0,99.3
cpx8.1,Clinopyroxene,53.1,0.23,0.99,0.01,11.4,0.37,14.7,19,0.33,0.02,100.3
cpx8.2,Clinopyroxene,53.9,0.21,0.81,0.01,11.7,0.46,14.8,19,0.32,0,101.2
cpx8.3,Clinopyroxene,53.3,0.24,1,0,11.3,0.44,14.8,18.8,0.27,0,100.3
cpx8.4,Clinopyroxene,52.8,0.26,1.07,0.01,10.4,0.38,15.2,19,0.37,0.02,99.5
cpx13.1,Clinopyroxene,53,0.31,1.26,0,12,0.39,14.3,18.4,0.41,0.01,100.1
cpx13.2,Clinopyroxene,52.7,0.32,1.16,0,12.8,0.45,14.5,17.6,0.4,0,99.9
cpx13.3,Clinopyroxene,51.9,0.42,3.18,0.5,6.31,0.15,16.8,19.7,0.32,0,99.3
cpx13.4,Clinopyroxene,52.3,0.39,3.17,0.52,6.2,0.2,16.9,19.5,0.29,0,99.5
cpx14.1,Clinopyroxene,52.4,0.51,1.74,0.03,10.7,0.36,15,18.5,0.43,0.01,99.7
cpx14.2,Clinopyroxene,52.5,0.54,1.85,0.01,11.3,0.38,15.1,18.4,0.37,0,100.5
cpx14.3,Clinopyroxene,52.8,0.44,1.51,0.02,10.5,0.39,15.4,18.3,0.39,0,99.8
cpx15.1,Clinopyroxene,52.5,0.31,1.22,0,10.9,0.5,15,18.6,0.42,0,99.5
cpx16.1,Clinopyroxene,51,0.71,4.2,0.36,8.54,0.15,17,17.5,0.27,0.04,99.8
cpx17.1,Clinopyroxene,52.9,0.44,1.57,0.02,10.7,0.45,15.2,18.5,0.4,0.02,100.2
cpx17.2,Clinopyroxene,53,0.3,1.01,0,10.7,0.43,15.2,18.6,0.36,0.02,99.7
cpx17.3,Clinopyroxene,51.1,0.79,3.46,0,9.5,0.21,15.4,18.8,0.37,0,99.6
cpx12.1,Clinopyroxene,53.4,0.19,0.75,0,10.9,0.34,14.7,19.3,0.35,0.03,100
cpx12.2,Clinopyroxene,53,0.31,1.2,0,11.8,0.37,14.7,18.9,0.32,0.01,100.5
cpx12.3,Clinopyroxene,53.5,0.24,0.93,0.01,11.5,0.38,14.7,19.1,0.32,0,100.7
cpx14.1,Clinopyroxene,53.8,0.32,2.39,0.11,16.2,0.42,23,6.1,0.33,0.04,102.7
cpx14.2,Clinopyroxene,50.6,0.72,4.65,0.33,10.1,0.32,15,17.4,0.85,0.07,99.9
